,Item,Old Price,Pick Up Notes,Sale Price,Store
0,12oz Birch Benders Pancake & Waffle Mix (Paleo) $3.75,$48,,$3.75,slickdeals.net
1,12oz Birch Benders Pancake & Waffle Mix (Paleo) $3.75,$48,,$3.75,slickdeals.net
2,12oz Birch Benders Pancake & Waffle Mix (Paleo) $3.75,$48,,$3.75,slickdeals.net
3,12oz Birch Benders Pancake & Waffle Mix (Paleo) $3.75,$48,,$3.75,slickdeals.net
4,"Bosch 1""x 10"" SDS-plus Bulldog Rotary Hammer Bit $6.30 &amp; More",$48,,"$6.30
                                                                                  $48",slickdeals.net
5,"Bosch 1""x 10"" SDS-plus Bulldog Rotary Hammer Bit $6.30 &amp; More",$48,,"$6.30
                                                                                  $48",slickdeals.net
6,"Bosch 1""x 10"" SDS-plus Bulldog Rotary Hammer Bit $6.30 &amp; More",$48,,"$6.30
                                                                                  $48",slickdeals.net
7,"Bosch 1""x 10"" SDS-plus Bulldog Rotary Hammer Bit $6.30 &amp; More",$48,,"$6.30
                                                                                  $48",slickdeals.net
8,Zojirushi Zutto 5-Cup Drip Coffeemaker $52.50 ,$67, Free Shipping,"$52.50
                                                                                  $67",slickdeals.net
9,Zojirushi Zutto 5-Cup Drip Coffeemaker $52.50 ,$67, Free Shipping,"$52.50
                                                                                  $67",slickdeals.net
10,Zojirushi Zutto 5-Cup Drip Coffeemaker $52.50 ,$67, Free Shipping,"$52.50
                                                                                  $67",slickdeals.net
11,Zojirushi Zutto 5-Cup Drip Coffeemaker $52.50 ,$67, Free Shipping,"$52.50
                                                                                  $67",slickdeals.net
12,16.9-Oz Febreze Fabric Refresher or 8.8-Oz Febreze Air Effects Air Freshener 2 for $3 &amp; More ,$10, Free Store Pickup,2 for $3,slickdeals.net
13,16.9-Oz Febreze Fabric Refresher or 8.8-Oz Febreze Air Effects Air Freshener 2 for $3 &amp; More ,$10, Free Store Pickup,2 for $3,slickdeals.net
14,16.9-Oz Febreze Fabric Refresher or 8.8-Oz Febreze Air Effects Air Freshener 2 for $3 &amp; More ,$10, Free Store Pickup,2 for $3,slickdeals.net
15,16.9-Oz Febreze Fabric Refresher or 8.8-Oz Febreze Air Effects Air Freshener 2 for $3 &amp; More ,$10, Free Store Pickup,2 for $3,slickdeals.net
16,8-Pack 272-Count Nursery Fresh Refill for Diaper Genie & Munchkin Diaper Pails $18.80 w/ S&amp;S ,$40, Free S&amp;H,"$18.80
                                                                                  $40",slickdeals.net
17,8-Pack 272-Count Nursery Fresh Refill for Diaper Genie & Munchkin Diaper Pails $18.80 w/ S&amp;S ,$40, Free S&amp;H,"$18.80
                                                                                  $40",slickdeals.net
18,8-Pack 272-Count Nursery Fresh Refill for Diaper Genie & Munchkin Diaper Pails $18.80 w/ S&amp;S ,$40, Free S&amp;H,"$18.80
                                                                                  $40",slickdeals.net
19,8-Pack 272-Count Nursery Fresh Refill for Diaper Genie & Munchkin Diaper Pails $18.80 w/ S&amp;S ,$40, Free S&amp;H,"$18.80
                                                                                  $40",slickdeals.net
20,Mutant Year Zero: Road to Eden (Nintendo Switch) $10 ,$20, Free Store Pickup,"$10
                                                                                  $20",slickdeals.net
21,Mutant Year Zero: Road to Eden (Nintendo Switch) $10 ,$20, Free Store Pickup,"$10
                                                                                  $20",slickdeals.net
22,Mutant Year Zero: Road to Eden (Nintendo Switch) $10 ,$20, Free Store Pickup,"$10
                                                                                  $20",slickdeals.net
23,Mutant Year Zero: Road to Eden (Nintendo Switch) $10 ,$20, Free Store Pickup,"$10
                                                                                  $20",slickdeals.net
24,Need For Speed: Payback (Xbox One Digital Download) $5,$20,,"$5
                                                                                  $20",slickdeals.net
25,Need For Speed: Payback (Xbox One Digital Download) $5,$20,,"$5
                                                                                  $20",slickdeals.net
26,Need For Speed: Payback (Xbox One Digital Download) $5,$20,,"$5
                                                                                  $20",slickdeals.net
27,Need For Speed: Payback (Xbox One Digital Download) $5,$20,,"$5
                                                                                  $20",slickdeals.net
28,Makita 18V LXT 6-Piece Li-Ion Cordless Combo Kit w/ 3.0Ah Batteries $299 ,$379, Free Shipping,"$299
                                                                                  $379",slickdeals.net
29,Makita 18V LXT 6-Piece Li-Ion Cordless Combo Kit w/ 3.0Ah Batteries $299 ,$379, Free Shipping,"$299
                                                                                  $379",slickdeals.net
30,Makita 18V LXT 6-Piece Li-Ion Cordless Combo Kit w/ 3.0Ah Batteries $299 ,$379, Free Shipping,"$299
                                                                                  $379",slickdeals.net
31,Makita 18V LXT 6-Piece Li-Ion Cordless Combo Kit w/ 3.0Ah Batteries $299 ,$379, Free Shipping,"$299
                                                                                  $379",slickdeals.net
32,50-Pair Mack's Ultra Soft Foam Earplugs (32dB NRR) $5.05 w/ S&amp;S ,$11, Free S&amp;H,"$5.05
                                                                                  $11",slickdeals.net
33,50-Pair Mack's Ultra Soft Foam Earplugs (32dB NRR) $5.05 w/ S&amp;S ,$11, Free S&amp;H,"$5.05
                                                                                  $11",slickdeals.net
34,50-Pair Mack's Ultra Soft Foam Earplugs (32dB NRR) $5.05 w/ S&amp;S ,$11, Free S&amp;H,"$5.05
                                                                                  $11",slickdeals.net
35,50-Pair Mack's Ultra Soft Foam Earplugs (32dB NRR) $5.05 w/ S&amp;S ,$11, Free S&amp;H,"$5.05
                                                                                  $11",slickdeals.net
36,"Prime Members: Shirt.Woot Tops (Tees, Tanks, Sweatshirts & More) B1G1 Free ",$30, Free Shipping,B1G1 Free,slickdeals.net
37,"Prime Members: Shirt.Woot Tops (Tees, Tanks, Sweatshirts & More) B1G1 Free ",$30, Free Shipping,B1G1 Free,slickdeals.net
38,"Prime Members: Shirt.Woot Tops (Tees, Tanks, Sweatshirts & More) B1G1 Free ",$30, Free Shipping,B1G1 Free,slickdeals.net
39,"Prime Members: Shirt.Woot Tops (Tees, Tanks, Sweatshirts & More) B1G1 Free ",$30, Free Shipping,B1G1 Free,slickdeals.net
40,24-Pack 11.15oz S.Pellegrino Essenza Flavored Mineral Water (Lemon & Lemon Zest) $8.20 w/ S&amp;S ,$9, Free S&amp;H,"$8.20
                                                                                  $9",slickdeals.net
41,24-Pack 11.15oz S.Pellegrino Essenza Flavored Mineral Water (Lemon & Lemon Zest) $8.20 w/ S&amp;S ,$9, Free S&amp;H,"$8.20
                                                                                  $9",slickdeals.net
42,24-Pack 11.15oz S.Pellegrino Essenza Flavored Mineral Water (Lemon & Lemon Zest) $8.20 w/ S&amp;S ,$9, Free S&amp;H,"$8.20
                                                                                  $9",slickdeals.net
43,24-Pack 11.15oz S.Pellegrino Essenza Flavored Mineral Water (Lemon & Lemon Zest) $8.20 w/ S&amp;S ,$9, Free S&amp;H,"$8.20
                                                                                  $9",slickdeals.net
44,64-Ounce Rug Doctor Pure Power Oxy Carpet Cleaner $9 ,$19, Free Store Pickup,"$9
                                                                                  $19",slickdeals.net
45,64-Ounce Rug Doctor Pure Power Oxy Carpet Cleaner $9 ,$19, Free Store Pickup,"$9
                                                                                  $19",slickdeals.net
46,64-Ounce Rug Doctor Pure Power Oxy Carpet Cleaner $9 ,$19, Free Store Pickup,"$9
                                                                                  $19",slickdeals.net
47,64-Ounce Rug Doctor Pure Power Oxy Carpet Cleaner $9 ,$19, Free Store Pickup,"$9
                                                                                  $19",slickdeals.net
48,Logitech G604 Lightspeed Wireless Gaming Mouse $80 ,$100, Free Shipping,"$80
                                                                                  $100",slickdeals.net
49,Logitech G604 Lightspeed Wireless Gaming Mouse $80 ,$100, Free Shipping,"$80
                                                                                  $100",slickdeals.net
50,Logitech G604 Lightspeed Wireless Gaming Mouse $80 ,$100, Free Shipping,"$80
                                                                                  $100",slickdeals.net
51,Logitech G604 Lightspeed Wireless Gaming Mouse $80 ,$100, Free Shipping,"$80
                                                                                  $100",slickdeals.net
52,Proctor Silex Single Serve Coffee Maker (Black) $12.25 ,$30, Free Store Pickup,"$12.25
                                                                                  $30",slickdeals.net
53,Proctor Silex Single Serve Coffee Maker (Black) $12.25 ,$30, Free Store Pickup,"$12.25
                                                                                  $30",slickdeals.net
54,Proctor Silex Single Serve Coffee Maker (Black) $12.25 ,$30, Free Store Pickup,"$12.25
                                                                                  $30",slickdeals.net
55,Proctor Silex Single Serve Coffee Maker (Black) $12.25 ,$30, Free Store Pickup,"$12.25
                                                                                  $30",slickdeals.net
56,20-Oz Contigo Autospout Ashland Stainless Steel Water Bottle (Scuba) $10.50,$20,,"$10.50
                                                                                  $20",slickdeals.net
57,20-Oz Contigo Autospout Ashland Stainless Steel Water Bottle (Scuba) $10.50,$20,,"$10.50
                                                                                  $20",slickdeals.net
